Tool,Score,Description,URL,bio.tools URL
medical relation extraction,0.167,"A general approach for improving deep learning-based medical relation extraction using a pre-trained model and fine-tuning.

The depository support training and testing BERT-CNN model on three medical relation extraction corpora: BioCreative V CDR task corpus, traditional Chinese medicine literature corpus, and i2b2 temporal relation corpus.

This is an implementation of BERT-CNN model used in our paper ""A General Approach for Improving Deep Learning-based Medical Relation Extraction using a Pre-trained Model and Fine-tuning"".",,https://bio.tools/medical relation extraction
qsbio,0.167,A dataset of conserved quaternary structure (QS) across Protein Data Ban (PDB).,,https://bio.tools/qsbio
bior,0.167,"Biological Repository is a toolkit and set of catalogs to retrieve genomic annotation for variants, genes, diseases, conditions, genetic tests, and drugs.",http://www.mybiosoftware.com/bior-2-2-1-rapid-flexible-system-for-genomic-annotation.html,https://bio.tools/bior
metdisease,0.167,"App for Cytoscape, the bioinformatics network visualization tool. The app is used to annotate a metabolic network with MeSH disease terms, explore related diseases within a network, and link to PubMed references corresponding to any network node and selection of MeSH terms.",http://www.mybiosoftware.com/metdisease-1-1-0-connecting-metabolites-to-diseases-via-literature.html,https://bio.tools/metdisease
elmmo,0.167,A website to browse miRNA target predictions from the ElMMo algorithm,,https://bio.tools/elmmo
nlr-parser,0.167,Tool to rapidly annotate the NLR (nucleotide-binding leucine-rich repeat) complement from sequenced plant genomes.,http://www.mybiosoftware.com/nlr-parser-1-0-annotation-pipeline-for-nlr-genes.html,https://bio.tools/nlr-parser
pannotator,0.167,Automated pipeline for the annotation of closely related genomes well suited for pangenome studies.,http://www.mybiosoftware.com/pannotator-annotation-of-pan-genomes.html,https://bio.tools/pannotator
pavian,0.167,"Web application for exploring metagenomics classification results, with a special focus on infectious disease diagnosis. Pinpointing pathogens in metagenomics classification results is often complicated by host and laboratory contaminants as well as many non-pathogenic microbiota. Researchers can analyze, display and transform results from the Kraken and Centrifuge classifiers using interactive tables, heatmaps and flow diagrams.",,https://bio.tools/pavian
ahtpdb,0.167,"Manually curated database of experimentally validated Antihypertensive peptides (AHTPs) with comprehensive information  that includes: sequence, inhibitory concentration (IC50), log value of inhibitory concentration (pIC50) and toxicity.",,https://bio.tools/ahtpdb
metfamily,0.167,Web application designed for the identification of regulated metabolite families. This is possible on the basis of metabolite profiles for a set of MS¹ features as well as one MS/MS spectrum for each MS¹ feature. Group-discriminating MS¹ features are identified using a PCA of metabolite profiles and metabolite families are identified using a HCA of MS/MS spectra. Regulated metabolite families are identified by considering group-discriminating MS¹ features from corporate metabolite families.,,https://bio.tools/metfamily
biolabeler,0.167,"Extract UMLS concepts from Biomedical texts such as scientific paper abstracts, experiments descriptions or medical notes and can be use to automatically curate and annotate BioMedical Literature.",https://www.biocatalogue.org/services/3331,https://bio.tools/biolabeler
magi,0.167,Publicly available web application to explore and annotate cancer genomics data.,http://www.mybiosoftware.com/magi-mutation-annotation-genome-interpretation.html,https://bio.tools/magi
starpdb,0.167,A web-server for structural annotation of a protein based on its similarity with known protein structures.,http://www.mybiosoftware.com/starpdb-blast-based-structural-annotation-of-a-protein.html,https://bio.tools/starpdb
rast,0.167,"""RAST (Rapid Annotation using Subsystem Technology) is a fully-automated service for annotating complete or nearly complete bacterial and archaeal genomes. It provides high quality genome annotations for these genomes across the whole phylogenetic tree.""",,https://bio.tools/rast
mirtarbas,0.167,"Identification of key genes and long non-coding RNA associated ceRNA networks in hepatocellular carcinoma.

the experimentally validated microRNA-target interactions database.

As a database, miRTarBase has accumulated more than three hundred and sixty thousand miRNA-target interactions (MTIs), which are collected by manually surveying pertinent literature after NLP of the text systematically to filter research articles related to functional studies of miRNAs. Generally, the collected MTIs are validated experimentally by reporter assay, western blot, microarray and next-generation sequencing experiments. While containing the largest amount of validated MTIs, the miRTarBase provides the most updated collection by comparing with other similar, previously developed databases.",,https://bio.tools/mirtarbas
pannzer2,0.167,Protein ANNotation with Z-scoRE. Fully automated  functional annotation of prokaryotic and eukaryotic proteins of unknown function. Designed to predict the functional description (DE) and GO classes.,,https://bio.tools/pannzer2
kinetoplastid genome resources (tritrypdb),0.167,"Integrated database providing access to genome-scale datasets for kinetoplastid parasites. Integrates datasets from Leishmania braziliensis, L. infantum, L. major, L. tarentolae, Trypanosoma brucei and T. cruzi. Users may examine individual genes or chromosomal spans in their genomic context, including syntenic alignments with other kinetoplastid organisms. Data can be interrogated utilizing a search strategy system that enables a user to construct complex queries combining multiple data types.",,https://bio.tools/kinetoplastid genome resources (tritrypdb)
ciona robusta anatomy and development ontology,0.167,"The first ontology describing the anatomy and the development of Ciona robusta, based on the Hotta developmental table.",,https://bio.tools/ciona robusta anatomy and development ontology
